Mes,Anio,Fecha,Total,Alimentos,Vivienda,Vestuario,Salud,Educacion,Diversion,Transporte,Comunicaciones,Otros Gastos
Enero,1988,01/01/1988,5.28,5.37,5.96,15.25,,,,,,
Febrero,1988,01/02/1988,5.49,5.61,6.06,15.74,,,,,,
Marzo,1988,01/03/1988,5.65,5.77,6.2,16.06,,,,,,
Abril,1988,01/04/1988,5.87,6.06,6.32,16.32,,,,,,
Mayo,1988,01/05/1988,5.97,6.17,6.42,16.61,,,,,,
Junio,1988,01/06/1988,6.12,6.36,6.5,16.89,,,,,,
Julio,1988,01/07/1988,6.2,6.45,6.62,17.08,,,,,,
Agosto,1988,01/08/1988,6.19,6.37,6.72,17.4,,,,,,
Septiembre,1988,01/09/1988,6.24,6.38,6.85,17.65,,,,,,
Octubre,1988,01/10/1988,6.33,6.49,6.95,17.91,,,,,,
Noviembre,1988,01/11/1988,6.42,6.57,7.06,18.25,,,,,,
Diciembre,1988,01/12/1988,6.57,6.76,7.15,18.6,,,,,,
Enero,1989,01/01/1989,6.75,6.98,7.32,18.85,4.04,4.42,,,,5.51
Febrero,1989,01/02/1989,6.98,7.2,7.46,19.09,4.28,5.09,,,,5.65
Marzo,1989,01/03/1989,7.15,7.4,7.63,19.41,4.58,5.13,,,,5.74
Abril,1989,01/04/1989,7.33,7.57,7.8,19.81,4.83,5.22,,,,5.87
Mayo,1989,01/05/1989,7.46,7.67,7.98,20.21,4.95,5.27,,,,6.05
Junio,1989,01/06/1989,7.56,7.72,8.13,20.59,5.04,5.3,,,,6.19
Julio,1989,01/07/1989,7.68,7.81,8.29,20.94,5.11,5.39,,,,6.3
Agosto,1989,01/08/1989,7.78,7.87,8.43,21.31,5.19,5.44,,,,6.47
Septiembre,1989,01/09/1989,7.89,7.91,8.57,21.8,5.28,5.57,,,,6.71
Octubre,1989,01/10/1989,8.02,8.03,8.71,22.14,5.36,5.62,,,,6.94
Noviembre,1989,01/11/1989,8.16,8.22,8.84,22.53,5.43,5.69,,,,7.15
Diciembre,1989,01/12/1989,8.28,8.31,8.98,23.03,5.46,5.73,,,,7.27
Enero,1990,01/01/1990,8.55,8.54,9.21,23.42,5.61,5.81,,,,7.42
Febrero,1990,01/02/1990,8.87,8.8,9.42,23.88,5.79,6.75,,,,7.58
Marzo,1990,01/03/1990,9.13,9.12,9.67,24.38,6.05,6.91,,,,7.9
Abril,1990,01/04/1990,9.38,9.43,9.9,25.01,6.35,7,,,,8.22
Mayo,1990,01/05/1990,9.57,9.59,10.13,25.56,6.58,7.07,,,,8.51
Junio,1990,01/06/1990,9.75,9.79,10.34,26.1,6.8,7.11,,,,8.7
Julio,1990,01/07/1990,9.88,9.89,10.51,26.59,6.97,7.19,,,,8.84
Agosto,1990,01/08/1990,10.04,10,10.73,27.04,7.12,7.26,,,,8.99
Septiembre,1990,01/09/1990,10.28,10.21,10.99,27.63,7.25,7.53,,,,9.29
Octubre,1990,01/10/1990,10.48,10.45,11.18,28.2,7.33,7.61,,,,9.6
Noviembre,1990,01/11/1990,10.69,10.72,11.37,28.91,7.39,7.68,,,,9.78
Diciembre,1990,01/12/1990,10.96,11.01,11.63,29.63,7.45,7.73,,,,9.99
Enero,1991,01/01/1991,11.29,11.37,11.93,30.13,7.67,7.82,,,,10.18
